MPA;x_utm18S;y_utm_18S;Latitude;Longitude;;;;;;;;
Ballestas;344938.1483;8485226.339;13.69773;76.43383;;;;;;;;
Ballestas;353527.0583;8485226.339;13.69817;76.35443;;;;;;;;
Ballestas;353527.0583;8476847.915;13.77392;76.35487;;;;;;;;
Ballestas;344938.1483;8476847.915;13.77347;76.43429;;;;;;;;
Chincha;344164.117;84971670.19;13.58974;76.4417;;;;;;;;
Chincha;3538203.381;84971670.19;13.59025;76.35111;;;;;;;;
Chincha;3538203.381;84875668.65;13.67703;76.3516;;;;;;;;
Chincha;344184.892;84875668.65;13.67652;76.44221;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
